Approve	Disapprove	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
44.0	53.0		gallup-18921	Gallup	2014-02-22	2014-02-24		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	49.0		rasmussen-18919	Rasmussen	2014-02-22	2014-02-24		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
44.0	52.0		gallup-18910	Gallup	2014-02-21	2014-02-23		Adults	1500	3.0	Live Phone	Nonpartisan	None
52.0	47.0		rasmussen-18901	Rasmussen	2014-02-21	2014-02-23		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
41.0	51.0	8.0	cbs-times-18937	CBS/Times	2014-02-19	2014-02-23		Adults	1644	3.0	Live Phone	Nonpartisan	None
76.0	17.0	7.0	cbs-times-18937	CBS/Times	2014-02-19	2014-02-23		Adults - Democrat	515		Live Phone	Nonpartisan	None
7.0	88.0	5.0	cbs-times-18937	CBS/Times	2014-02-19	2014-02-23		Adults - Republican	519	6.0	Live Phone	Nonpartisan	None
37.0	53.0	10.0	cbs-times-18937	CBS/Times	2014-02-19	2014-02-23		Adults - independent	550		Live Phone	Nonpartisan	None
44.0	51.0		gallup-18900	Gallup	2014-02-20	2014-02-22		Adults	1500	3.0	Live Phone	Nonpartisan	None
51.0	47.0		rasmussen-18899	Rasmussen	2014-02-20	2014-02-22		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
51.0	47.0		rasmussen-18898	Rasmussen	2014-02-19	2014-02-21		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
44.0	51.0		gallup-18897	Gallup	2014-02-19	2014-02-21		Adults	1500	3.0	Live Phone	Nonpartisan	None
45.0	50.0		gallup-18893	Gallup	2014-02-18	2014-02-20		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	49.0		rasmussen-18890	Rasmussen	2014-02-18	2014-02-20		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
46.0	50.0		gallup-18878	Gallup	2014-02-17	2014-02-19		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	49.0		rasmussen-18877	Rasmussen	2014-02-17	2014-02-19		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
44.0	50.0		gallup-18874	Gallup	2014-02-16	2014-02-18		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-18869	Rasmussen	2014-02-16	2014-02-18		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
42.0	55.0	4.0	yougov-economist-18876	YouGov/Economist	2014-02-15	2014-02-17		Adults	1000	4.2	Internet	Nonpartisan	None
79.0	18.0	2.0	yougov-economist-18876	YouGov/Economist	2014-02-15	2014-02-17		Adults - Democrat	364		Internet	Nonpartisan	None
9.0	86.0	4.0	yougov-economist-18876	YouGov/Economist	2014-02-15	2014-02-17		Adults - Republican	240		Internet	Nonpartisan	None
31.0	64.0	5.0	yougov-economist-18876	YouGov/Economist	2014-02-15	2014-02-17		Adults - independent	258		Internet	Nonpartisan	None
42.0	52.0		gallup-18866	Gallup	2014-02-15	2014-02-17		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-18864	Rasmussen	2014-02-15	2014-02-17		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
48.0	50.0		rasmussen-18863	Rasmussen	2014-02-14	2014-02-16		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
41.0	53.0		gallup-18862	Gallup	2014-02-14	2014-02-16		Adults	1500	3.0	Live Phone	Nonpartisan	None
51.0	48.0		rasmussen-18861	Rasmussen	2014-02-13	2014-02-15		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
41.0	53.0		gallup-18859	Gallup	2014-02-13	2014-02-15		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	50.0		rasmussen-18860	Rasmussen	2014-02-12	2014-02-14		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
40.0	52.0		gallup-18858	Gallup	2014-02-12	2014-02-14		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	50.0		rasmussen-18857	Rasmussen	2014-02-11	2014-02-13		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
40.0	52.0		gallup-18856	Gallup	2014-02-11	2014-02-13		Adults	1500	3.0	Live Phone	Nonpartisan	None
39.0	51.0		gallup-18849	Gallup	2014-02-10	2014-02-12		Adults	1500	3.0	Live Phone	Nonpartisan	None
44.0	55.0		rasmussen-18848	Rasmussen	2014-02-10	2014-02-12		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
44.0	54.0	2.0	mclaughlin-r-19060	McLaughlin (R)	2014-02-06	2014-02-12		Likely Voters	1000	3.1	Internet	Pollster	Rep
42.0	53.0	6.0	fox-18895	FOX	2014-02-09	2014-02-11		Registered Voters	1006	3.0	Live Phone	Nonpartisan	None
75.0	18.0	8.0	fox-18895	FOX	2014-02-09	2014-02-11		Registered Voters - Democrat			Live Phone	Nonpartisan	None
11.0	86.0	3.0	fox-18895	FOX	2014-02-09	2014-02-11		Registered Voters - Republican			Live Phone	Nonpartisan	None
29.0	65.0	6.0	fox-18895	FOX	2014-02-09	2014-02-11		Registered Voters - independent			Live Phone	Nonpartisan	None
40.0	51.0		gallup-18846	Gallup	2014-02-09	2014-02-11		Adults	1500	3.0	Live Phone	Nonpartisan	None
44.0	55.0		rasmussen-18845	Rasmussen	2014-02-09	2014-02-11		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
42.0	53.0	5.0	yougov-economist-18916	YouGov/Economist	2014-02-08	2014-02-10		Adults	1000	4.0	Internet	Nonpartisan	None
75.0	22.0	4.0	yougov-economist-18916	YouGov/Economist	2014-02-08	2014-02-10		Adults - Democrat	383		Internet	Nonpartisan	None
8.0	91.0	1.0	yougov-economist-18916	YouGov/Economist	2014-02-08	2014-02-10		Adults - Republican	227		Internet	Nonpartisan	None
34.0	60.0	6.0	yougov-economist-18916	YouGov/Economist	2014-02-08	2014-02-10		Adults - independent	321		Internet	Nonpartisan	None
42.0	50.0		gallup-18831	Gallup	2014-02-08	2014-02-10		Adults	1500	3.0	Live Phone	Nonpartisan	None
44.0	54.0		rasmussen-18829	Rasmussen	2014-02-08	2014-02-10		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
42.0	51.0		gallup-18825	Gallup	2014-02-07	2014-02-09		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-18817	Rasmussen	2014-02-07	2014-02-09		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
42.0	52.0	5.0	mcclatchy-marist-18837	McClatchy/Marist	2014-02-04	2014-02-09		Registered Voters	970	3.1	Live Phone	Nonpartisan	None
80.0	16.0	5.0	mcclatchy-marist-18837	McClatchy/Marist	2014-02-04	2014-02-09		Registered Voters - Democrat			Live Phone	Nonpartisan	None
7.0	88.0	4.0	mcclatchy-marist-18837	McClatchy/Marist	2014-02-04	2014-02-09		Registered Voters - Republican			Live Phone	Nonpartisan	None
35.0	58.0	7.0	mcclatchy-marist-18837	McClatchy/Marist	2014-02-04	2014-02-09		Registered Voters - independent			Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-18816	Rasmussen	2014-02-06	2014-02-08		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
41.0	51.0		gallup-18814	Gallup	2014-02-06	2014-02-08		Adults	1500	3.0	Live Phone	Nonpartisan	None
47.0	51.0		rasmussen-18815	Rasmussen	2014-02-05	2014-02-07		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
39.0	52.0		gallup-18813	Gallup	2014-02-05	2014-02-07		Adults	1500	3.0	Live Phone	Nonpartisan	None
45.0	54.0		rasmussen-18808	Rasmussen	2014-02-04	2014-02-06		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
40.0	51.0		gallup-18812	Gallup	2014-02-03	2014-02-06		Adults	1500	3.0	Live Phone	Nonpartisan	None
45.0	54.0		rasmussen-18802	Rasmussen	2014-02-03	2014-02-05		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
41.0	50.0		gallup-18805	Gallup	2014-02-01	2014-02-05		Adults	1500	3.0	Live Phone	Nonpartisan	None
45.0	54.0		rasmussen-18801	Rasmussen	2014-02-02	2014-02-04		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
42.0	54.0	4.0	yougov-economist-18799	YouGov/Economist	2014-02-01	2014-02-03		Adults	1000	4.0	Internet	Nonpartisan	None
77.0	19.0	4.0	yougov-economist-18799	YouGov/Economist	2014-02-01	2014-02-03		Adults - Democrat	371		Internet	Nonpartisan	None
10.0	89.0		yougov-economist-18799	YouGov/Economist	2014-02-01	2014-02-03		Adults - Republican	234		Internet	Nonpartisan	None
31.0	67.0	2.0	yougov-economist-18799	YouGov/Economist	2014-02-01	2014-02-03		Adults - independent	307		Internet	Nonpartisan	None
47.0	52.0		rasmussen-18788	Rasmussen	2014-02-01	2014-02-03		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
40.0	51.0		gallup-18787	Gallup	2014-01-31	2014-02-03		Adults	1500	3.0	Live Phone	Nonpartisan	None
45.0	50.0	5.0	cnn-18782	CNN	2014-01-31	2014-02-02		Adults	1010	3.0	Live Phone	Nonpartisan	None
88.0	9.0	3.0	cnn-18782	CNN	2014-01-31	2014-02-02		Adults - Democrat		6.0	Live Phone	Nonpartisan	None
5.0	92.0	3.0	cnn-18782	CNN	2014-01-31	2014-02-02		Adults - Republican		6.5	Live Phone	Nonpartisan	None
38.0	55.0	7.0	cnn-18782	CNN	2014-01-31	2014-02-02		Adults - independent		4.5	Live Phone	Nonpartisan	None
47.0	51.0		rasmussen-18770	Rasmussen	2014-01-31	2014-02-02		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
49.0	49.0		rasmussen-18769	Rasmussen	2014-01-30	2014-02-01		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
41.0	51.0		gallup-18767	Gallup	2014-01-30	2014-02-01		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-18768	Rasmussen	2014-01-29	2014-01-31		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
42.0	51.0		gallup-18766	Gallup	2014-01-29	2014-01-31		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-18762	Rasmussen	2014-01-28	2014-01-30		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
43.0	50.0		gallup-18761	Gallup	2014-01-28	2014-01-30		Adults	1500	3.0	Live Phone	Nonpartisan	None
40.0	54.0	6.0	ipsos-reuters-web-18839	Ipsos/Reuters (Web)	2014-01-26	2014-01-30		Adults	1424		Internet	Nonpartisan	None
72.0	24.0	4.0	ipsos-reuters-web-18839	Ipsos/Reuters (Web)	2014-01-26	2014-01-30		Adults - Democrat	540		Internet	Nonpartisan	None
10.0	89.0	1.0	ipsos-reuters-web-18839	Ipsos/Reuters (Web)	2014-01-26	2014-01-30		Adults - Republican	499		Internet	Nonpartisan	None
26.0	66.0	8.0	ipsos-reuters-web-18839	Ipsos/Reuters (Web)	2014-01-26	2014-01-30		Adults - independent	238		Internet	Nonpartisan	None
42.0	49.0		gallup-18759	Gallup	2014-01-27	2014-01-29		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	53.0		rasmussen-18752	Rasmussen	2014-01-27	2014-01-29		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
41.0	50.0		gallup-18747	Gallup	2014-01-26	2014-01-28		Adults	1500	3.0	Live Phone	Nonpartisan	None
47.0	52.0		rasmussen-18740	Rasmussen	2014-01-26	2014-01-28		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
45.0	50.0	5.0	yougov-economist-18746	YouGov/Economist	2014-01-25	2014-01-27		Adults	1000	3.9	Internet	Nonpartisan	None
81.0	17.0	2.0	yougov-economist-18746	YouGov/Economist	2014-01-25	2014-01-27		Adults - Democrat	405		Internet	Nonpartisan	None
11.0	87.0	2.0	yougov-economist-18746	YouGov/Economist	2014-01-25	2014-01-27		Adults - Republican	200		Internet	Nonpartisan	None
32.0	61.0	7.0	yougov-economist-18746	YouGov/Economist	2014-01-25	2014-01-27		Adults - independent	317		Internet	Nonpartisan	None
41.0	50.0		gallup-18739	Gallup	2014-01-25	2014-01-27		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-18738	Rasmussen	2014-01-25	2014-01-27		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
41.0	52.0		gallup-18732	Gallup	2014-01-24	2014-01-26		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	49.0		rasmussen-18728	Rasmussen	2014-01-24	2014-01-26		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
41.0	53.0	7.0	ppp-d-18736	PPP (D)	2014-01-23	2014-01-26		Likely Voters	845	3.4	Automated Phone	Pollster	Dem
77.0	13.0	10.0	ppp-d-18736	PPP (D)	2014-01-23	2014-01-26		Likely Voters - Democrat			Automated Phone	Pollster	Dem
8.0	92.0	1.0	ppp-d-18736	PPP (D)	2014-01-23	2014-01-26		Likely Voters - Republican			Automated Phone	Pollster	Dem
32.0	58.0	10.0	ppp-d-18736	PPP (D)	2014-01-23	2014-01-26		Likely Voters - independent			Automated Phone	Pollster	Dem
42.0	51.0		gallup-18731	Gallup	2014-01-23	2014-01-25		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	50.0		rasmussen-18727	Rasmussen	2014-01-23	2014-01-25		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
43.0	51.0	6.0	nbc-wsj-18737	NBC/WSJ	2014-01-22	2014-01-25		Adults	800	3.4	Live Phone	Nonpartisan	None
43.0	50.0		gallup-18730	Gallup	2014-01-22	2014-01-24		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-18726	Rasmussen	2014-01-22	2014-01-24		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
48.0	51.0		rasmussen-18724	Rasmussen	2014-01-21	2014-01-23		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
43.0	49.0		gallup-18723	Gallup	2014-01-21	2014-01-23		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	50.0		abc-post-18729	ABC/Post	2014-01-20	2014-01-23		Adults	1003	3.5	Live Phone	Nonpartisan	None
81.0	18.0		abc-post-18729	ABC/Post	2014-01-20	2014-01-23		Adults - Democrat			Live Phone	Nonpartisan	None
13.0	85.0		abc-post-18729	ABC/Post	2014-01-20	2014-01-23		Adults - Republican			Live Phone	Nonpartisan	None
41.0	53.0		abc-post-18729	ABC/Post	2014-01-20	2014-01-23		Adults - independent			Live Phone	Nonpartisan	None
42.0	49.0		gallup-18721	Gallup	2014-01-20	2014-01-22		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	50.0		rasmussen-18713	Rasmussen	2014-01-20	2014-01-22		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
37.0	55.0	8.0	ipsos-reuters-web-18751	Ipsos/Reuters (Web)	2014-01-18	2014-01-22		Adults	1499		Internet	Nonpartisan	None
70.0	25.0	5.0	ipsos-reuters-web-18751	Ipsos/Reuters (Web)	2014-01-18	2014-01-22		Adults - Democrat	563		Internet	Nonpartisan	None
11.0	88.0	1.0	ipsos-reuters-web-18751	Ipsos/Reuters (Web)	2014-01-18	2014-01-22		Adults - Republican	557		Internet	Nonpartisan	None
23.0	72.0	6.0	ipsos-reuters-web-18751	Ipsos/Reuters (Web)	2014-01-18	2014-01-22		Adults - independent	223		Internet	Nonpartisan	None
42.0	53.0	5.0	fox-18712	FOX	2014-01-19	2014-01-21		Registered Voters	1010	3.0	Live Phone	Nonpartisan	None
77.0	19.0	4.0	fox-18712	FOX	2014-01-19	2014-01-21		Registered Voters - Democrat			Live Phone	Nonpartisan	None
11.0	85.0	4.0	fox-18712	FOX	2014-01-19	2014-01-21		Registered Voters - Republican			Live Phone	Nonpartisan	None
35.0	57.0	8.0	fox-18712	FOX	2014-01-19	2014-01-21		Registered Voters - independent			Live Phone	Nonpartisan	None
42.0	49.0		gallup-18710	Gallup	2014-01-19	2014-01-21		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	49.0		rasmussen-18705	Rasmussen	2014-01-19	2014-01-21		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
45.0	53.0	1.0	ap-gfk-web-18725	AP-GfK (Web)	2014-01-17	2014-01-21		Adults	1060	3.9	Internet	Nonpartisan	None
46.0	47.0	7.0	cbs-18716	CBS	2014-01-17	2014-01-21		Adults	1018	3.0	Live Phone	Nonpartisan	None
81.0	11.0	7.0	cbs-18716	CBS	2014-01-17	2014-01-21		Adults - Democrat	336		Live Phone	Nonpartisan	None
7.0	90.0	3.0	cbs-18716	CBS	2014-01-17	2014-01-21		Adults - Republican	255		Live Phone	Nonpartisan	None
41.0	50.0	9.0	cbs-18716	CBS	2014-01-17	2014-01-21		Adults - independent	427		Live Phone	Nonpartisan	None
45.0	51.0	4.0	yougov-economist-18722	YouGov/Economist	2014-01-18	2014-01-20		Adults	1000	3.9	Internet	Nonpartisan	None
80.0	17.0	3.0	yougov-economist-18722	YouGov/Economist	2014-01-18	2014-01-20		Adults - Democrat	377		Internet	Nonpartisan	None
9.0	90.0	1.0	yougov-economist-18722	YouGov/Economist	2014-01-18	2014-01-20		Adults - Republican	240		Internet	Nonpartisan	None
39.0	59.0	3.0	yougov-economist-18722	YouGov/Economist	2014-01-18	2014-01-20		Adults - independent	288		Internet	Nonpartisan	None
41.0	50.0		gallup-18699	Gallup	2014-01-18	2014-01-20		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	49.0		rasmussen-18697	Rasmussen	2014-01-18	2014-01-20		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
46.0	50.0		arg-18698	ARG	2014-01-17	2014-01-20		Adults	1100	2.6	Live Phone	Nonpartisan	None
86.0	10.0		arg-18698	ARG	2014-01-17	2014-01-20		Adults - Democrat			Live Phone	Nonpartisan	None
6.0	90.0		arg-18698	ARG	2014-01-17	2014-01-20		Adults - Republican			Live Phone	Nonpartisan	None
41.0	56.0		arg-18698	ARG	2014-01-17	2014-01-20		Adults - independent			Live Phone	Nonpartisan	None
49.0	50.0		rasmussen-18696	Rasmussen	2014-01-17	2014-01-19		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
40.0	51.0		gallup-18693	Gallup	2014-01-17	2014-01-19		Adults	1500	3.0	Live Phone	Nonpartisan	None
40.0	54.0	6.0	quinnipiac-18708	Quinnipiac	2014-01-15	2014-01-19		Registered Voters	1933	2.2	Live Phone	Nonpartisan	None
79.0	16.0	4.0	quinnipiac-18708	Quinnipiac	2014-01-15	2014-01-19		Registered Voters - Democrat	803	3.5	Live Phone	Nonpartisan	None
8.0	89.0	3.0	quinnipiac-18708	Quinnipiac	2014-01-15	2014-01-19		Registered Voters - Republican	813	3.4	Live Phone	Nonpartisan	None
36.0	58.0	6.0	quinnipiac-18708	Quinnipiac	2014-01-15	2014-01-19		Registered Voters - independent			Live Phone	Nonpartisan	None
43.0	49.0	8.0	pew-usa-today-18700	Pew/USA Today	2014-01-15	2014-01-19		Adults	1504	2.9	Live Phone	Nonpartisan	None
77.0	17.0		pew-usa-today-18700	Pew/USA Today	2014-01-15	2014-01-19		Adults - Democrat	477	5.2	Live Phone	Nonpartisan	None
12.0	84.0		pew-usa-today-18700	Pew/USA Today	2014-01-15	2014-01-19		Adults - Republican	354	6.0	Live Phone	Nonpartisan	None
37.0	53.0		pew-usa-today-18700	Pew/USA Today	2014-01-15	2014-01-19		Adults - independent	587	4.7	Live Phone	Nonpartisan	None
47.0	51.0		rasmussen-18695	Rasmussen	2014-01-16	2014-01-18		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
40.0	52.0		gallup-18692	Gallup	2014-01-16	2014-01-18		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	49.0		rasmussen-18694	Rasmussen	2014-01-15	2014-01-17		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
39.0	53.0		gallup-18691	Gallup	2014-01-15	2014-01-17		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	52.0	2.0	mclaughlin-r-madison-coalition-19059	McLaughlin (R-Madison Coalition)	2014-01-14	2014-01-17		Likely Voters	1000	3.1	Internet	Sponsor	Rep
39.0	53.0		gallup-18690	Gallup	2014-01-14	2014-01-16		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	48.0		rasmussen-18685	Rasmussen	2014-01-14	2014-01-16		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
39.0	53.0		gallup-18683	Gallup	2014-01-13	2014-01-15		Adults	1500	3.0	Live Phone	Nonpartisan	None
51.0	47.0		rasmussen-18676	Rasmussen	2014-01-13	2014-01-15		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
40.0	52.0		gallup-18677	Gallup	2014-01-12	2014-01-14		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	49.0		rasmussen-18674	Rasmussen	2014-01-12	2014-01-14		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
40.0	53.0	6.0	ipsos-reuters-web-18684	Ipsos/Reuters (Web)	2014-01-10	2014-01-14		Adults	1245		Internet	Nonpartisan	None
72.0	24.0	5.0	ipsos-reuters-web-18684	Ipsos/Reuters (Web)	2014-01-10	2014-01-14		Adults - Democrat	455		Internet	Nonpartisan	None
14.0	85.0	1.0	ipsos-reuters-web-18684	Ipsos/Reuters (Web)	2014-01-10	2014-01-14		Adults - Republican	461		Internet	Nonpartisan	None
27.0	69.0	4.0	ipsos-reuters-web-18684	Ipsos/Reuters (Web)	2014-01-10	2014-01-14		Adults - independent	183		Internet	Nonpartisan	None
42.0	55.0	3.0	yougov-economist-18681	YouGov/Economist	2014-01-11	2014-01-13		Adults	1000	4.3	Internet	Nonpartisan	None
78.0	21.0	2.0	yougov-economist-18681	YouGov/Economist	2014-01-11	2014-01-13		Adults - Democrat	373		Internet	Nonpartisan	None
5.0	95.0	0.0	yougov-economist-18681	YouGov/Economist	2014-01-11	2014-01-13		Adults - Republican	210		Internet	Nonpartisan	None
30.0	64.0	6.0	yougov-economist-18681	YouGov/Economist	2014-01-11	2014-01-13		Adults - independent	319		Internet	Nonpartisan	None
40.0	53.0		gallup-18672	Gallup	2014-01-11	2014-01-13		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-18666	Rasmussen	2014-01-11	2014-01-13		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
42.0	51.0		gallup-18663	Gallup	2014-01-10	2014-01-12		Adults	1500	3.0	Live Phone	Nonpartisan	None
47.0	52.0		rasmussen-18658	Rasmussen	2014-01-10	2014-01-12		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
43.0	51.0		gallup-18660	Gallup	2014-01-09	2014-01-11		Adults	1500	3.0	Live Phone	Nonpartisan	None
47.0	52.0		rasmussen-18657	Rasmussen	2014-01-09	2014-01-11		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
42.0	50.0		gallup-18659	Gallup	2014-01-08	2014-01-10		Adults	1500	3.0	Live Phone	Nonpartisan	None
47.0	52.0		rasmussen-18656	Rasmussen	2014-01-08	2014-01-10		Likely Voters	500	3.0	IVR/Online	Nonpartisan	None
42.0	50.0		gallup-18650	Gallup	2014-01-07	2014-01-09		Adults	1500	3.0	Live Phone	Nonpartisan	None
47.0	51.0		rasmussen-18648	Rasmussen	2014-01-07	2014-01-09		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
41.0	51.0		gallup-18647	Gallup	2014-01-06	2014-01-08		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	50.0		rasmussen-18645	Rasmussen	2014-01-06	2014-01-08		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
41.0	52.0		gallup-18643	Gallup	2014-01-05	2014-01-07		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	50.0		rasmussen-18642	Rasmussen	2014-01-05	2014-01-07		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
41.0	53.0	7.0	quinnipiac-18644	Quinnipiac	2014-01-04	2014-01-07		Registered Voters	1487	2.5	Live Phone	Nonpartisan	None
81.0	15.0	3.0	quinnipiac-18644	Quinnipiac	2014-01-04	2014-01-07		Registered Voters - Democrat			Live Phone	Nonpartisan	None
9.0	86.0	5.0	quinnipiac-18644	Quinnipiac	2014-01-04	2014-01-07		Registered Voters - Republican			Live Phone	Nonpartisan	None
35.0	58.0	7.0	quinnipiac-18644	Quinnipiac	2014-01-04	2014-01-07		Registered Voters - independent			Live Phone	Nonpartisan	None
39.0	51.0	10.0	ipsos-reuters-web-18665	Ipsos/Reuters (Web)	2014-01-03	2014-01-07		Adults	1451		Internet	Nonpartisan	None
70.0	25.0	5.0	ipsos-reuters-web-18665	Ipsos/Reuters (Web)	2014-01-03	2014-01-07		Adults - Democrat	580		Internet	Nonpartisan	None
8.0	86.0	6.0	ipsos-reuters-web-18665	Ipsos/Reuters (Web)	2014-01-03	2014-01-07		Adults - Republican	504		Internet	Nonpartisan	None
27.0	66.0	7.0	ipsos-reuters-web-18665	Ipsos/Reuters (Web)	2014-01-03	2014-01-07		Adults - independent	226		Internet	Nonpartisan	None
43.0	54.0	3.0	yougov-economist-18646	YouGov/Economist	2014-01-04	2014-01-06		Adults	1000	3.9	Internet	Nonpartisan	None
70.0	17.0	4.0	yougov-economist-18646	YouGov/Economist	2014-01-04	2014-01-06		Adults - Democrat	367		Internet	Nonpartisan	None
9.0	91.0	0.0	yougov-economist-18646	YouGov/Economist	2014-01-04	2014-01-06		Adults - Republican	227		Internet	Nonpartisan	None
31.0	66.0	3.0	yougov-economist-18646	YouGov/Economist	2014-01-04	2014-01-06		Adults - independent	307		Internet	Nonpartisan	None
41.0	53.0		gallup-18641	Gallup	2014-01-04	2014-01-06		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	49.0		rasmussen-18636	Rasmussen	2014-01-04	2014-01-06		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
41.0	53.0		gallup-18634	Gallup	2014-01-03	2014-01-05		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	50.0		rasmussen-18633	Rasmussen	2014-01-03	2014-01-05		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
47.0	51.0		rasmussen-18632	Rasmussen	2014-01-02	2014-01-04		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
40.0	53.0		gallup-18630	Gallup	2014-01-02	2014-01-04		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-18631	Rasmussen	2013-12-30	2014-01-03		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
40.0	53.0		gallup-18629	Gallup	2013-12-29	2014-01-03		Adults	1500	3.0	Live Phone	Nonpartisan	None
47.0	51.0		rasmussen-18626	Rasmussen	2013-12-29	2014-01-02		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
42.0	50.0		gallup-18628	Gallup	2013-12-28	2014-01-02		Adults	1500	3.0	Live Phone	Nonpartisan	None
40.0	56.0	4.0	yougov-economist-18640	YouGov/Economist	2013-12-28	2013-12-30		Adults	1000	4.3	Internet	Nonpartisan	None
78.0	19.0	3.0	yougov-economist-18640	YouGov/Economist	2013-12-28	2013-12-30		Adults - Democrat	390		Internet	Nonpartisan	None
6.0	93.0	1.0	yougov-economist-18640	YouGov/Economist	2013-12-28	2013-12-30		Adults - Republican	224		Internet	Nonpartisan	None
31.0	66.0	3.0	yougov-economist-18640	YouGov/Economist	2013-12-28	2013-12-30		Adults - independent	296		Internet	Nonpartisan	None
